ID,性別,世代,キャンペーン反応フラグ,購入金額_201304,購入金額_201404,キャンペーン前M,キャラクター商品M,生活用品M,文具M,娯楽商品M,本類M,おにぎりM,スイーツM,パンM,ファストフードM,飲料M,お惣菜M,お弁当M,キャンペーン前R,キャラクター商品R,生活用品R,文具R,娯楽商品R,本類R,おにぎりR,スイーツR,パンR,ファストフードR,飲料R,お惣菜R,お弁当R
1,男,20代,1,15870,20350,179400,21670,7750,2420,8000,14960,20420,13950,27290,7080,54370,2110,12420,1,1,117,34,212,18,1,6,5,26,2,41,32
2,男,50代,1,2510,8030,46990,4120,0,120,3000,1300,6130,1120,7860,1440,18900,450,4960,1,9,NA,157,184,185,8,68,9,23,1,103,17
3,男,60代,1,1310,2910,24570,4550,1000,0,0,1600,2320,1620,4980,1100,8000,0,2680,2,12,7,NA,NA,102,16,52,12,37,2,NA,102
4,女,70代以上,1,4300,7200,98745,9780,1670,275,10000,8980,8110,12800,12230,4600,23640,1750,11170,1,4,175,145,114,45,10,18,4,36,1,59,12
5,女,70代以上,1,10790,18895,192350,20710,7400,730,5000,10240,25420,20270,31460,5840,56720,5360,10950,1,2,1,29,296,2,2,10,3,5,1,5,6
6,男,50代,1,15950,19790,138340,16050,3240,640,11000,4860,17650,4460,20200,5740,48770,2440,13540,2,4,75,36,2,51,5,18,4,9,3,28,10
7,男,60代,1,4480,22970,108955,11810,200,155,0,10000,13120,9680,18530,1480,42580,1010,6320,1,5,55,169,NA,22,17,12,1,61,6,68,22
8,女,70代以上,1,13440,21070,148110,15700,2080,100,3000,9780,17450,18910,21350,5540,44290,3350,11360,3,3,62,274,270,6,6,10,3,31,7,47,32
9,男,60代,1,3290,4870,69280,8670,1520,0,5000,1980,7860,3850,11670,2120,24110,750,7250,2,3,9,NA,255,54,2,94,3,33,2,43,71
10,男,10代以下,1,12230,8310,85080,12460,800,100,5000,3660,9940,6140,12470,5220,25260,1640,10680,1,2,63,347,317,30,3,1,1,2,2,92,22
11,男,10代以下,1,11300,16940,106575,20390,3560,755,0,4900,14670,5790,19110,7980,32410,1980,8750,1,1,21,43,NA,35,2,15,2,4,1,35,1
12,女,30代,1,5720,7960,82620,10130,4200,360,0,12700,8600,5240,12050,2540,24660,2450,6500,1,1,169,165,NA,5,1,6,1,48,9,9,13
13,女,50代,0,960,4590,17075,940,2000,55,0,0,1140,3500,1500,440,5400,0,1490,1,3,206,294,NA,NA,55,3,3,11,1,NA,6
